,Original_MRP,Discounted_Price,Product Height,Product Width,Product Depth,Machine Weight,Washing Capacity,combinedtext
1,24990,16491,87.0,54.0,56.0,30,6.5,"LG 6.5Kg Top Load Washing Machine, Smart Inverter Motor, Middle Free Silver 3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Side Water Fall Smart Inverter Motor TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Rinse Spin Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Stain Care Rinse Rinse Spin Tub Clean Smart Diagnosis 3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Side Water Fall Smart Inverter Motor TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Rinse Spin Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Stain Care Rinse Rinse Spin Tub Clean Smart Diagnosis"
2,30490,19990,92.5,54.0,56.0,32,7.0,"LG 7Kg Top Load Washing Machine, Smart Inverter Motor, Middle Free Silver3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Punch 3 Side Water Fall Smart Inverter Motor Soft Closing Door TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Stain Care Rinse Rinse Spin Time Delay Tub Clean Smart Diagnosis 3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Punch 3 Side Water Fall Smart Inverter Motor Soft Closing Door TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Stain Care Rinse Rinse Spin Time Delay Tub Clean Smart Diagnosis"
3,28490,17490,91.0,54.0,56.0,31,7.0,"LG 7Kg Top Load Washing Machine, Smart Inverter Motor, Middle Free Silver3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Side Water Fall Smart Inverter Motor TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Rinse Spin Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Stain Care Rinse Rinse Spin Tub Clean Smart Diagnosis 3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Side Water Fall Smart Inverter Motor TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Rinse Spin Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Stain Care Rinse Rinse Spin Tub Clean Smart Diagnosis"
5,52990,35990,85.0,60.0,45.5,63,7.0,"LG 7Kg Front Load Washing Machine, AI Direct Drive™, Platinum SilverSteam ThinQ Wi-Fi Steam ThinQ Wi-Fi Delay Timer 6 Motion DD AI DD End of Cycle Signal Add Item Auto Restart Inverter DirectDrive LoadSense Steam Stainless Steel Drum TurboWash Cotton Allergy Care washer Cotton+ Delicates Download Cycle Easy Care Mixed Fabric Speed 14 Tub Clean TurboWash 59 Wool Hand/Wool Wi-Fi Add Item Beep On/Off Child Lock Pre Wash Remote Start Spin Steam TurboWash Smart Diagnosis Download Cycle Energy Monitoring Remote Start and Cycle Monitor ThinQ Wi-Fi Smart Pairing Tub Clean Coach Delay Timer 6 Motion DD AI DD End of Cycle Signal Add Item Auto Restart Inverter DirectDrive LoadSense Steam Stainless Steel Drum TurboWash Cotton Allergy Care washer Cotton+ Delicates Download Cycle Easy Care Mixed Fabric Speed 14 Tub Clean TurboWash 59 Wool Hand/Wool Wi-Fi Add Item Beep On/Off Child Lock Pre Wash Remote Start Spin Steam TurboWash Smart Diagnosis Download Cycle Energy Monitoring Remote Start and Cycle Monitor ThinQ Wi-Fi Smart Pairing Tub Clean Coach"
8,29490,20490,91.0,54.0,56.0,31,7.5,"LG 7.5Kg Top Load Washing Machine, Smart Inverter Motor, Middle Free Silver3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Punch 3 Side Water Fall Smart Inverter Motor TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Rinse Spin Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Stain Care Rinse Rinse Spin Tub Clean Smart Diagnosis 3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Punch 3 Side Water Fall Smart Inverter Motor TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Rinse Spin Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Stain Care Rinse Rinse Spin Tub Clean Smart Diagnosis"
9,37490,24490,92.5,54.0,56.0,32,8.0,"LG 8Kg Top Load Washing Machine, Smart Inverter Motor, Middle Free Silver3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Punch 3 Side Water Fall Smart Inverter Motor Soft Closing Door TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Stain Care Rinse Rinse Spin Time Delay Tub Clean Smart Diagnosis 3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Punch 3 Side Water Fall Smart Inverter Motor Soft Closing Door TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Stain Care Rinse Rinse Spin Time Delay Tub Clean Smart Diagnosis"
14,31490,23490,92.5,54.0,56.0,32,7.5,"LG 7.5Kg Top Load Washing Machine, Smart Inverter Motor, Middle Free Silver 3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Punch 3 Side Water Fall Smart Inverter Motor Soft Closing Door TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Stain Care Rinse Rinse Spin Time Delay Tub Clean Smart Diagnosis 3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Punch 3 Side Water Fall Smart Inverter Motor Soft Closing Door TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Stain Care Rinse Rinse Spin Time Delay Tub Clean Smart Diagnosis"
19,71990,58490,85.0,60.0,56.5,59,11.0,"LG 11Kg Front Load Washing Machine, AI Direct Drive™, Black VCMWrinkle Care ThinQ Wi-Fi Wrinkle Care ThinQ Wi-Fi Delay Timer Door Lock Indication End of Cycle Signal TurboWash Foam detection system Inverter DirectDrive Leveling Legs LoadSense Stainless Steel Drum Steam+ TurboWash360˚ Vibration Sensor 6 Motion DD Add Item AI DD Auto Restart Baby Steam Care Allergy Care washer Cotton Cotton+ Delicates Download Cycle Duvet Easy Care Mixed Fabric Silent Wash Speed 14 Sportswear Tub Clean TurboWash 39 Wool Hand/Wool Download Cycle Energy Monitoring Remote Start and Cycle Monitor Smart Diagnosis ThinQ Wi-Fi Tub Clean Coach Smart Pairing Add Item Beep On/Off Child Lock Delay End Pre Wash Remote Start Rinse+ Spin Steam TurboWash Wi-Fi Wrinkle Care Delay Timer Door Lock Indication End of Cycle Signal TurboWash Foam detection system Inverter DirectDrive Leveling Legs LoadSense Stainless Steel Drum Steam+ TurboWash360˚ Vibration Sensor 6 Motion DD Add Item AI DD Auto Restart Baby Steam Care Allergy Care washer Cotton Cotton+ Delicates Download Cycle Duvet Easy Care Mixed Fabric Silent Wash Speed 14 Sportswear Tub Clean TurboWash 39 Wool Hand/Wool Download Cycle Energy Monitoring Remote Start and Cycle Monitor Smart Diagnosis ThinQ Wi-Fi Tub Clean Coach Smart Pairing Add Item Beep On/Off Child Lock Delay End Pre Wash Remote Start Rinse+ Spin Steam TurboWash Wi-Fi Wrinkle Care"
21,25490,19990,92.5,54.0,56.0,32,7.0,"LG 7Kg Top Load Washing Machine, Smart Inverter Motor, Middle Free Silver3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Punch 3 Side Water Fall Smart Inverter Motor Soft Closing Door TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Strong Wave Tub Clean Wool Wash Only Aqua Reserve Child Lock Soak Spin Only Rinse Rinse Spin Time Delay Tub Clean Smart Diagnosis 3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Punch 3 Side Water Fall Smart Inverter Motor Soft Closing Door TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Strong Wave Tub Clean Wool Wash Only Aqua Reserve Child Lock Soak Spin Only Rinse Rinse Spin Time Delay Tub Clean Smart Diagnosis"
22,47490,34991,94.5,54.0,56.0,35,10.0,"LG 10Kg Top Load Washing Machine, AI Direct Drive™, Platinum BlackSteam ThinQ Wi-Fi Steam ThinQ Wi-Fi TurboWash LoadSense Steam JetSpray Lint Filter Semi Stainless Steel Drum Side Water Fall Smart Motion Soft Closing Door TurboDrum Water Level Gentle Wool Saree Strong Jeans Allergy Care washer AI Wash Download Cycle Drain Spin Normal Quick Wash Rinse Spin Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Remote Start Strong Wave Rinse Rinse Spin Time Delay Steam Smart Diagnosis Download Cycle Energy Monitoring Remote Start and Cycle Monitor ThinQ Wi-Fi Smart Pairing TurboWash LoadSense Steam JetSpray Lint Filter Semi Stainless Steel Drum Side Water Fall Smart Motion Soft Closing Door TurboDrum Water Level Gentle Wool Saree Strong Jeans Allergy Care washer AI Wash Download Cycle Drain Spin Normal Quick Wash Rinse Spin Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Remote Start Strong Wave Rinse Rinse Spin Time Delay Steam Smart Diagnosis Download Cycle Energy Monitoring Remote Start and Cycle Monitor ThinQ Wi-Fi Smart Pairing"
25,54990,40491,85.0,60.0,56.5,63,8.0,"LG 8Kg Front Load Washing Machine, AI Direct Drive™ , Steam, Middle BlackSteam Steam Add Item Beep On/Off Child Lock Delay End Pre Wash Rinse+ Spin Steam Delay Timer Door Lock Indication 6 Motion DD Add Item AI DD Auto Restart End of Cycle Signal Foam detection system Inverter DirectDrive Leveling Legs LoadSense Stainless Steel Drum Steam Baby Steam Care Allergy Care washer Cotton Cotton+ Delicates Duvet Easy Care Mixed Fabric Quick 30 Speed 14 Sportswear Tub Clean Wool Hand/Wool Download Cycle Energy Monitoring Remote Start and Cycle Monitor Smart Diagnosis Tub Clean Coach Add Item Beep On/Off Child Lock Delay End Pre Wash Rinse+ Spin Steam Delay Timer Door Lock Indication 6 Motion DD Add Item AI DD Auto Restart End of Cycle Signal Foam detection system Inverter DirectDrive Leveling Legs LoadSense Stainless Steel Drum Steam Baby Steam Care Allergy Care washer Cotton Cotton+ Delicates Duvet Easy Care Mixed Fabric Quick 30 Speed 14 Sportswear Tub Clean Wool Hand/Wool Download Cycle Energy Monitoring Remote Start and Cycle Monitor Smart Diagnosis Tub Clean Coach"
26,42990,32490,85.0,60.0,45.5,63,6.5,"LG 6.5Kg Front Load Washing Machine, AI Direct Drive™, Middle BlackSteam Steam Delay Timer Door Lock Indication 6 Motion DD Add Item AI DD Auto Restart End of Cycle Signal Foam detection system Inverter DirectDrive Leveling Legs LoadSense Stainless Steel Drum Steam Baby Steam Care Allergy Care washer Cotton Cotton+ Delicates Duvet Easy Care Mixed Fabric Speed 14 Sportswear Tub Clean Wool Hand/Wool Download Cycle Energy Monitoring Remote Start and Cycle Monitor Smart Diagnosis Tub Clean Coach Add Item Beep On/Off Child Lock Delay End Pre Wash Remote Start Rinse+ Spin Steam Delay Timer Door Lock Indication 6 Motion DD Add Item AI DD Auto Restart End of Cycle Signal Foam detection system Inverter DirectDrive Leveling Legs LoadSense Stainless Steel Drum Steam Baby Steam Care Allergy Care washer Cotton Cotton+ Delicates Duvet Easy Care Mixed Fabric Speed 14 Sportswear Tub Clean Wool Hand/Wool Download Cycle Energy Monitoring Remote Start and Cycle Monitor Smart Diagnosis Tub Clean Coach Add Item Beep On/Off Child Lock Delay End Pre Wash Remote Start Rinse+ Spin Steam"
27,46990,37990,85.0,60.0,45.5,63,7.0,"LG 7Kg Front Load Washing Machine, AI Direct Drive™, Middle BlackSteam ThinQ Wi-Fi Steam ThinQ Wi-Fi Baby Steam Care Allergy Care washer Cotton Cotton+ Delicates Download Cycle Duvet Easy Care Mixed Fabric Quick 30 Speed 14 Sportswear Tub Clean Wool Hand/Wool Download Cycle Energy Monitoring Remote Start and Cycle Monitor Smart Diagnosis ThinQ Wi-Fi Tub Clean Coach Smart Pairing Add Item Beep On/Off Child Lock Delay End Pre Wash Remote Start Rinse+ Spin Steam Wi-Fi Delay Timer Door Lock Indication 6 Motion DD Add Item AI DD Auto Restart End of Cycle Signal TurboWash Foam detection system Inverter DirectDrive Leveling Legs LoadSense Stainless Steel Drum Steam Baby Steam Care Allergy Care washer Cotton Cotton+ Delicates Download Cycle Duvet Easy Care Mixed Fabric Quick 30 Speed 14 Sportswear Tub Clean Wool Hand/Wool Download Cycle Energy Monitoring Remote Start and Cycle Monitor Smart Diagnosis ThinQ Wi-Fi Tub Clean Coach Smart Pairing Add Item Beep On/Off Child Lock Delay End Pre Wash Remote Start Rinse+ Spin Steam Wi-Fi Delay Timer Door Lock Indication 6 Motion DD Add Item AI DD Auto Restart End of Cycle Signal TurboWash Foam detection system Inverter DirectDrive Leveling Legs LoadSense Stainless Steel Drum Steam"
28,45990,34991,85.0,60.0,45.5,63,7.0,"LG 7Kg Front Load Washing Machine, AI Direct Drive, Steam™, Middle BlackSteam Steam 6 Motion DD Add Item AI DD Auto Restart End of Cycle Signal TurboWash Foam detection system Inverter DirectDrive Leveling Legs LoadSense Stainless Steel Drum Steam Baby Steam Care Allergy Care washer Cotton Cotton+ Delicates Duvet Easy Care Mixed Fabric Quick 30 Rinse+Spin Speed 14 Sportswear Tub Clean Wool Hand/Wool Smart Diagnosis Add Item Beep On/Off Child Lock Delay End Pre Wash Rinse+ Spin Steam Delay Timer Door Lock Indication 6 Motion DD Add Item AI DD Auto Restart End of Cycle Signal TurboWash Foam detection system Inverter DirectDrive Leveling Legs LoadSense Stainless Steel Drum Steam Baby Steam Care Allergy Care washer Cotton Cotton+ Delicates Duvet Easy Care Mixed Fabric Quick 30 Rinse+Spin Speed 14 Sportswear Tub Clean Wool Hand/Wool Smart Diagnosis Add Item Beep On/Off Child Lock Delay End Pre Wash Rinse+ Spin Steam Delay Timer Door Lock Indication"
30,42990,31990,94.5,54.0,56.0,35,10.0,"LG 10Kg Top Load Washing Machine, AI Direct Drive™, Turbowash, Middle BlackThinQ Wi-Fi ThinQ Wi-Fi TurboWash LoadSense JetSpray Lint Filter Side Water Fall Smart Motion Soft Closing Door TurboDrum Water Level Gentle Wool Saree Strong Jeans AI Wash Drain Spin Normal Pre Wash+Normal Quick Wash Rinse Spin Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Remote Start Strong Wave Rinse Rinse Spin Time Delay Smart Diagnosis Download Cycle Energy Monitoring Remote Start and Cycle Monitor ThinQ Wi-Fi Smart Pairing TurboWash LoadSense JetSpray Lint Filter Side Water Fall Smart Motion Soft Closing Door TurboDrum Water Level Gentle Wool Saree Strong Jeans AI Wash Drain Spin Normal Pre Wash+Normal Quick Wash Rinse Spin Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Remote Start Strong Wave Rinse Rinse Spin Time Delay Smart Diagnosis Download Cycle Energy Monitoring Remote Start and Cycle Monitor ThinQ Wi-Fi Smart Pairing"
31,43990,30990,94.5,54.0,56.0,35,9.0,"LG 9Kg Top Load Washing Machine, AI Direct Drive™, In-built Heater, Middle BlackSteam ThinQ Wi-Fi Steam ThinQ Wi-Fi TurboWash LoadSense Steam JetSpray Lint Filter Semi Stainless Steel Drum Side Water Fall Smart Motion Soft Closing Door TurboDrum Water Level Gentle Wool Saree Strong Jeans Allergy Care washer AI Wash Download Cycle Drain Spin Normal Quick Wash Rinse Spin Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Remote Start Strong Wave Rinse Rinse Spin Time Delay Steam Smart Diagnosis Download Cycle Energy Monitoring Remote Start and Cycle Monitor ThinQ Wi-Fi Smart Pairing TurboWash LoadSense Steam JetSpray Lint Filter Semi Stainless Steel Drum Side Water Fall Smart Motion Soft Closing Door TurboDrum Water Level Gentle Wool Saree Strong Jeans Allergy Care washer AI Wash Download Cycle Drain Spin Normal Quick Wash Rinse Spin Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Remote Start Strong Wave Rinse Rinse Spin Time Delay Steam Smart Diagnosis Download Cycle Energy Monitoring Remote Start and Cycle Monitor ThinQ Wi-Fi Smart Pairing"
32,40990,29491,94.5,54.0,56.0,35,9.0,"LG 9Kg Top Load Washing Machine, AI Direct Drive™, TurboDrum, Middle BlackThinQ Wi-Fi ThinQ Wi-Fi TurboWash LoadSense JetSpray Lint Filter Side Water Fall Smart Motion Soft Closing Door TurboDrum Water Level Gentle Wool Saree Strong Jeans AI Wash Drain Spin Normal Pre Wash+Normal Quick Wash Rinse Spin Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Remote Start Strong Wave Rinse Rinse Spin Time Delay Smart Diagnosis Download Cycle Energy Monitoring Remote Start and Cycle Monitor ThinQ Wi-Fi Smart Pairing TurboWash LoadSense JetSpray Lint Filter Side Water Fall Smart Motion Soft Closing Door TurboDrum Water Level Gentle Wool Saree Strong Jeans AI Wash Drain Spin Normal Pre Wash+Normal Quick Wash Rinse Spin Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Remote Start Strong Wave Rinse Rinse Spin Time Delay Smart Diagnosis Download Cycle Energy Monitoring Remote Start and Cycle Monitor ThinQ Wi-Fi Smart Pairing"
33,58990,46990,85.0,60.0,56.5,63,9.0,"LG 9Kg Front Load Washing Machine, AI Direct Drive™, Middle BlackSteam ThinQ Wi-Fi Steam ThinQ Wi-Fi Add Item Beep On/Off Child Lock Delay End Pre Wash Remote Start Rinse+ Spin Steam Wi-Fi Delay Timer Door Lock Indication 6 Motion DD Add Item AI DD Auto Restart End of Cycle Signal Foam detection system Inverter DirectDrive Leveling Legs LoadSense Stainless Steel Drum Steam Baby Steam Care Allergy Care washer Cotton Cotton+ Delicates Download Cycle Duvet Easy Care Mixed Fabric Quick 30 Sportswear Tub Clean Wool Hand/Wool Energy Monitoring Remote Start and Cycle Monitor Smart Diagnosis ThinQ Wi-Fi Tub Clean Coach Smart Pairing Download Cycle Add Item Beep On/Off Child Lock Delay End Pre Wash Remote Start Rinse+ Spin Steam Wi-Fi Delay Timer Door Lock Indication 6 Motion DD Add Item AI DD Auto Restart End of Cycle Signal Foam detection system Inverter DirectDrive Leveling Legs LoadSense Stainless Steel Drum Steam Baby Steam Care Allergy Care washer Cotton Cotton+ Delicates Download Cycle Duvet Easy Care Mixed Fabric Quick 30 Sportswear Tub Clean Wool Hand/Wool Energy Monitoring Remote Start and Cycle Monitor Smart Diagnosis ThinQ Wi-Fi Tub Clean Coach Smart Pairing Download Cycle"
36,30990,18990,91.0,54.0,56.0,31,8.0,"LG 8Kg Top Load Washing Machine, Smart Inverter Motor, Middle Free Silver3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Punch 3 Side Water Fall Smart Inverter Motor TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Rinse Spin Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Stain Care Rinse Rinse Spin Tub Clean Smart Diagnosis 3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Punch 3 Side Water Fall Smart Inverter Motor TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Rinse Spin Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Stain Care Rinse Rinse Spin Tub Clean Smart Diagnosis"
38,57990,45490,85.0,60.0,56.5,63,9.0,"LG 9Kg Front Load Washing Machine, AI Direct Drive™, Steam™, Middle BlackSteam Steam Add Item Beep On/Off Child Lock Delay End Pre Wash Remote Start Rinse+ Spin Steam Delay Timer Door Lock Indication 6 Motion DD Add Item AI DD Auto Restart End of Cycle Signal Foam detection system Inverter DirectDrive Leveling Legs LoadSense Stainless Steel Drum Steam Baby Steam Care Allergy Care washer Cotton Cotton+ Delicates Duvet Easy Care Mixed Fabric Quick 30 Speed 14 Sportswear Tub Clean Wool Hand/Wool Download Cycle Energy Monitoring Remote Start and Cycle Monitor Smart Diagnosis Tub Clean Coach Add Item Beep On/Off Child Lock Delay End Pre Wash Remote Start Rinse+ Spin Steam Delay Timer Door Lock Indication 6 Motion DD Add Item AI DD Auto Restart End of Cycle Signal Foam detection system Inverter DirectDrive Leveling Legs LoadSense Stainless Steel Drum Steam Baby Steam Care Allergy Care washer Cotton Cotton+ Delicates Duvet Easy Care Mixed Fabric Quick 30 Speed 14 Sportswear Tub Clean Wool Hand/Wool Download Cycle Energy Monitoring Remote Start and Cycle Monitor Smart Diagnosis Tub Clean Coach"
45,47990,36490,94.5,54.0,56.0,35,11.0,"LG 11Kg Top Load Washing Machine, AI Direct Drive™, Platinum BlackSteam ThinQ Wi-Fi Steam ThinQ Wi-Fi TurboWash LoadSense Steam JetSpray Lint Filter Semi Stainless Steel Drum Side Water Fall Smart Motion Soft Closing Door TurboDrum Water Level Gentle Wool Saree Strong Jeans Allergy Care washer AI Wash Download Cycle Drain Spin Normal Quick Wash Rinse Spin Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Remote Start Strong Wave Rinse Rinse Spin Time Delay Steam Smart Diagnosis Download Cycle Energy Monitoring Remote Start and Cycle Monitor ThinQ Wi-Fi Smart Pairing TurboWash LoadSense Steam JetSpray Lint Filter Semi Stainless Steel Drum Side Water Fall Smart Motion Soft Closing Door TurboDrum Water Level Gentle Wool Saree Strong Jeans Allergy Care washer AI Wash Download Cycle Drain Spin Normal Quick Wash Rinse Spin Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Remote Start Strong Wave Rinse Rinse Spin Time Delay Steam Smart Diagnosis Download Cycle Energy Monitoring Remote Start and Cycle Monitor ThinQ Wi-Fi Smart Pairing"
47,101990,70990,85.0,60.0,56.5,73,11.0,"LG 11/7Kg Front Load Washer Dryer, AI Direct Drive™, Black VCMWrinkle Care ThinQ Wi-Fi Wrinkle Care ThinQ Wi-Fi Door Lock Indication 6 Motion DD AI DD End of Cycle Signal Add Item Auto Restart Inverter DirectDrive Foam detection system LoadSense Steam+ Leveling Legs Stainless Steel Drum TurboWash360˚ Embossing Inner Drum Vibration Sensor Cotton Allergy Care washer Cotton+ Delicates Download Cycle Easy Care Mixed Fabric Speed 14 Steam Refresh Tub Clean TurboWash 39 Wash+Dry Wool Hand/Wool Wi-Fi Add Item Beep On/Off Child Lock Delay End Pre Wash Remote Start Rinse+ Steam TurboWash Wrinkle Care Smart Diagnosis Download Cycle Energy Monitoring Remote Start and Cycle Monitor ThinQ Wi-Fi Tub Clean Coach Smart Pairing Door Lock Indication 6 Motion DD AI DD End of Cycle Signal Add Item Auto Restart Inverter DirectDrive Foam detection system LoadSense Steam+ Leveling Legs Stainless Steel Drum TurboWash360˚ Embossing Inner Drum Vibration Sensor Cotton Allergy Care washer Cotton+ Delicates Download Cycle Easy Care Mixed Fabric Speed 14 Steam Refresh Tub Clean TurboWash 39 Wash+Dry Wool Hand/Wool Wi-Fi Add Item Beep On/Off Child Lock Delay End Pre Wash Remote Start Rinse+ Steam TurboWash Wrinkle Care Smart Diagnosis Download Cycle Energy Monitoring Remote Start and Cycle Monitor ThinQ Wi-Fi Tub Clean Coach Smart Pairing"
48,275000,219990,165.5,60.0,66.0,28,13.0,LG 13/10kg WashTower™ Smart Washer Dryer in Green and Beige ColorTurboWash360˚ AI DD ThinQ Wi-Fi TurboWash360˚ AI DD ThinQ Wi-Fi Door Lock Indication Washer Smart Diagnosis Download Cycle Energy Monitoring Remote Start and Cycle Monitor ThinQ Wi-Fi Cloud Cycle Tub Clean Coach Washer Smart Pairing Auto Cleaning Condenser Drum Light Dual Dry DUAL Inverter HeatPump  Dual Lint Filter Embossing Inner Drum End of Cycle Signal LoadSense Sensor Dry 6 Motion DD AI DD Auto Restart Drum Light Embossing Inner Drum End of Cycle Signal Foam detection system Inverter DirectDrive Leveling Legs LoadSense Stainless Steel Drum Steam TurboWash360˚ Vibration Sensor Cotton Allergy Care dryer Delicates Downloaded Cycle Duvet Mix Mixed Fabric Quick Dry Refresh Cotton Allergy Care washer Delicates Downloaded Cycle Duvet Mix Mixed Fabric Quick Wash Rinse+Spin Tub Clean Door Lock Indication Washer Smart Diagnosis Download Cycle Energy Monitoring Remote Start and Cycle Monitor ThinQ Wi-Fi Cloud Cycle Tub Clean Coach Washer Smart Pairing Auto Cleaning Condenser Drum Light Dual Dry DUAL Inverter HeatPump  Dual Lint Filter Embossing Inner Drum End of Cycle Signal LoadSense Sensor Dry 6 Motion DD AI DD Auto Restart Drum Light Embossing Inner Drum End of Cycle Signal Foam detection system Inverter DirectDrive Leveling Legs LoadSense Stainless Steel Drum Steam TurboWash360˚ Vibration Sensor Cotton Allergy Care dryer Delicates Downloaded Cycle Duvet Mix Mixed Fabric Quick Dry Refresh Cotton Allergy Care washer Delicates Downloaded Cycle Duvet Mix Mixed Fabric Quick Wash Rinse+Spin Tub Clean
